p_val	avg_log2FC	pct.1	pct.2	p_val_adj
2.62402516751191e-35	-0.309673725914976	0.001	0.25	9.60419451561035e-31
3.10100219153437e-35	-0.308583557341858	0.001	0.25	1.13499781212349e-30
3.10100219153437e-35	-0.352270213003353	0.001	0.25	1.13499781212349e-30
3.10100219153437e-35	-0.382707181029722	0.001	0.25	1.13499781212349e-30
3.10100219153437e-35	-0.350612431366656	0.001	0.25	1.13499781212349e-30
3.10100219153437e-35	-0.352447841235399	0.001	0.25	1.13499781212349e-30
3.10100219153437e-35	-0.383206201380429	0.001	0.25	1.13499781212349e-30
2.65532184424104e-32	-0.878247298995143	0.006	0.5	9.71874348210663e-28
6.93347917257702e-27	-0.698228871104672	0.002	0.25	2.53772271195491e-22
6.93347917257702e-27	-0.699232987586382	0.002	0.25	2.53772271195491e-22
6.93347917257702e-27	-0.699823437071656	0.002	0.25	2.53772271195491e-22
8.91091559109675e-27	-0.30478879586138	0.002	0.25	3.26148421549732e-22
8.91091559109675e-27	-0.382822864412553	0.002	0.25	3.26148421549732e-22
8.91091559109675e-27	-0.352135724658381	0.002	0.25	3.26148421549732e-22
1.00999903740004e-26	-0.37950018604004	0.002	0.25	3.69669747678789e-22
1.00999903740004e-26	-0.383255133622194	0.002	0.25	3.69669747678789e-22
1.00999903740004e-26	-0.349599190695166	0.002	0.25	3.69669747678789e-22
1.00999903740004e-26	-0.30741109867689	0.002	0.25	3.69669747678789e-22
7.7784198013563e-25	-0.636786746883386	0.008	0.5	2.84697943149442e-20
1.10523124438312e-24	-0.598140209814082	0.008	0.5	4.04525687756666e-20
2.53476580919072e-22	-0.640267528562973	0.009	0.5	9.27749633821896e-18
8.88202749370756e-22	-1.16493055980495	0.002	0.25	3.25091088297191e-17
1.08586934545915e-21	-0.692462776333663	0.002	0.25	3.97439039131503e-17
1.08586934545915e-21	-0.348640368970564	0.002	0.25	3.97439039131503e-17
1.20044111726361e-21	-0.350586772981794	0.002	0.25	4.39373453329654e-17
1.20044111726361e-21	-0.305139287212818	0.002	0.25	4.39373453329654e-17
1.20044111726361e-21	-0.692863553049673	0.002	0.25	4.39373453329654e-17
1.32696008473802e-21	-0.381930476745108	0.002	0.25	4.85680660614964e-17
1.32696008473802e-21	-0.302334845472079	0.002	0.25	4.85680660614964e-17
1.32696008473802e-21	-0.303770584827221	0.002	0.25	4.85680660614964e-17
1.32696008473802e-21	-0.377928355836309	0.002	0.25	4.85680660614964e-17
1.32696008473802e-21	-0.347597340986278	0.002	0.25	4.85680660614964e-17
1.32696008473802e-21	-0.302269048438336	0.002	0.25	4.85680660614964e-17
1.32696008473802e-21	-0.307305580759955	0.002	0.25	4.85680660614964e-17
2.05314977307052e-18	-0.566237398817875	0.011	0.5	7.5147334844154e-14
3.20727158191447e-18	-0.381253244226556	0.003	0.25	1.17389347169652e-13
3.20727158191447e-18	-0.378093039242169	0.003	0.25	1.17389347169652e-13
