p_val	avg_log2FC	pct.1	pct.2	p_val_adj
5.99240576391615e-38	-0.43220781030175	0.944	0.996	2.19328043365095e-33
6.52870355809374e-38	-0.6188064879434	0.768	0.922	2.38957078929789e-33
9.08697192428676e-38	-0.462398296841436	0.965	0.996	3.3259225940082e-33
1.01295473894527e-37	0.761388095358002	0.864	0.872	3.70751564001358e-33
1.9401567030311e-37	-0.491116548852737	0.88	0.979	7.10116754876413e-33
2.44145025638368e-37	0.995854485297306	0.511	0.255	8.93595208338992e-33
7.73613423056564e-37	0.819414308573491	0.67	0.491	2.83150248972933e-32
2.41901470243436e-36	-0.696952363438575	0.399	0.673	8.85383571237998e-32
7.87481282038786e-36	-0.728096736370292	0.429	0.691	2.88226024039016e-31
1.38313174533e-35	-0.882795970379075	0.365	0.638	5.06240050108232e-31
1.40126157494868e-35	0.619253374885464	0.944	0.915	5.12875749046965e-31
1.58432884180738e-35	-0.68955640820027	0.336	0.602	5.79880199389919e-31
2.3458086514684e-35	-0.546971392818206	0.803	0.937	8.58589424523951e-31
3.80288651064635e-35	-0.499620411380296	0.007	0.166	1.39189449176167e-30
8.53802962231284e-35	-0.573706164005733	0.722	0.885	3.12500422206272e-30
1.15354283458542e-34	-0.677114765421014	0.148	0.409	4.22208212886608e-30
2.39293449513152e-34	-0.700118632648046	0.357	0.621	8.75837954563089e-30
2.84688043577101e-34	-0.55107298035894	0.694	0.875	1.04198670829655e-29
6.65309384463524e-34	-0.619862357497657	0.803	0.924	2.43509887807494e-29
1.86411014421357e-33	-0.633131366664116	0.015	0.176	6.8228295388361e-29
2.49725943534371e-33	-0.557830857323788	0.676	0.852	9.14021925930152e-29
3.83138533174451e-33	-0.611038116050302	0.407	0.661	1.40232534527181e-28
3.41285892151037e-32	0.741524390147494	0.646	0.37	1.24914049386201e-27
3.52680790827335e-32	-0.777465910420966	0.668	0.815	1.29084696250713e-27
3.66357671903506e-32	-0.750545446787098	0.338	0.601	1.34090571493402e-27
4.08565228101949e-32	0.853088248108762	0.364	0.135	1.49538959137595e-27
4.41642814685392e-32	-0.786984040480875	0.287	0.518	1.61645686603e-27
4.88843990130632e-32	0.698765364683074	0.745	0.58	1.78921788827713e-27
5.06245643546597e-32	0.753758036662342	0.738	0.587	1.8529096799449e-27
7.17407121754914e-32	0.527150935987421	0.874	0.887	2.62578180633516e-27
1.13879800525471e-31	0.778049910482484	0.731	0.569	4.16811457903276e-27
3.71472278335946e-31	-0.634896161845988	0.53	0.743	1.35962568593739e-26
4.38604886711234e-31	0.578023159831417	0.9	0.856	1.60533774585179e-26
5.11928491960977e-31	0.829574730971773	0.234	0.046	1.87370947342637e-26
5.7769112145787e-31	0.502925462819341	0.944	0.958	2.11440727364795e-26
6.28521200487051e-31	0.807040701399501	0.664	0.472	2.30045044590265e-26
1.01504965419333e-30	-0.653970631782479	0.288	0.524	3.715183239313e-26
1.11430955981746e-30	-0.596151211592724	0.463	0.706	4.07848441988789e-26
1.43523183460472e-30	-0.657173703159043	0.37	0.604	5.25309203783673e-26
2.28407270137706e-30	0.569566660482472	0.829	0.76	8.35993449431019e-26
4.08767488918996e-30	-0.370972563150512	0.954	0.993	1.49612988619242e-25
6.09789561200209e-30	-0.59248265574317	0.302	0.555	2.23189077294889e-25
6.87594686175926e-30	0.819179881763292	0.419	0.184	2.51666531087251e-25
9.17131160829938e-30	0.371817451937089	0.968	0.999	3.35679176175366e-25
6.41111432481914e-29	0.909230592147459	0.457	0.235	2.34653195402705e-24
6.9261153501802e-29	-0.559577316258241	0.508	0.737	2.53502747931946e-24
2.09707009101669e-28	0.879090949317713	0.432	0.21	7.67548624013018e-24
2.27298420294563e-28	-0.705267000929366	0.233	0.463	8.3193494812013e-24
2.4655741268629e-28	-0.559801267800446	0.047	0.222	9.0242478617309e-24
2.49335225285136e-28	0.732048182461744	0.71	0.54	9.12591858066127e-24
2.63850393036503e-28	-0.589414863468725	0.258	0.509	9.65718823552905e-24
3.28354377890477e-28	0.397390843700784	0.973	0.991	1.20180985851693e-23
4.55957289669089e-28	0.675732367227029	0.877	0.783	1.66884927591783e-23
4.6117718481658e-28	-0.600332559876649	0.167	0.394	1.68795461414716e-23
5.02202646118979e-28	-0.511538658836854	0.504	0.738	1.83811190506007e-23
