p_val	avg_log2FC	pct.1	pct.2	p_val_adj
1.99335933126585e-156	-0.569597047955652	0.033	0.155	7.29589448836613e-152
1.14070969958055e-155	-0.608336195974704	0.066	0.218	4.17511157143476e-151
2.14224782873275e-154	-0.536251804017291	0.035	0.158	7.84084127794476e-150
9.04838127166409e-153	1.31687815549333	0.496	0.293	3.31179802924177e-148
1.0803021238852e-151	-0.570324420820606	0.044	0.174	3.95401380363222e-147
2.24908374940314e-147	-0.63828210114252	0.034	0.152	8.23187143119042e-143
3.95528776914756e-146	-2.29707630331541	0.075	0.219	1.4476748763857e-141
1.14802928996349e-145	0.736874060717926	0.358	0.137	4.20190200419537e-141
2.9490933025921e-142	-0.597733366951687	0.061	0.201	1.07939763968174e-137
3.69421182943977e-142	-3.494864223454	0.052	0.178	1.35211847169325e-137
7.01920615893544e-141	-0.732658147796176	0.298	0.484	2.56909964623196e-136
3.34371617221887e-140	-0.735342222910302	0.127	0.291	1.22383355619383e-135
1.39175306531263e-139	-0.621271841286019	0.12	0.295	5.09395539435076e-135
1.93093308210761e-138	-0.564871281609588	0.065	0.207	7.06740817382207e-134
8.56741721732229e-138	-0.484482797417786	0.029	0.136	3.13576037571213e-133
7.61242651512342e-137	-0.667994320101863	0.107	0.265	2.78622422880032e-132
1.20706662947252e-135	-0.586572879427434	0.076	0.222	4.41798457053237e-131
2.59831453618223e-135	-0.566465066044106	0.055	0.187	9.51009103388057e-131
4.10703275094475e-134	-0.601349250089299	0.415	0.589	1.50321505717329e-129
2.35614296138153e-133	-0.466890631430844	0.029	0.133	8.62371885295254e-129
3.43840833077474e-133	-0.651498234035368	0.135	0.303	1.25849183314686e-128
1.39889808801078e-132	-0.648357544025147	0.159	0.336	5.12010689192827e-128
1.14304650518437e-131	-0.567174543693854	0.13	0.309	4.18366451362532e-127
1.56362909100466e-127	-0.522980440703962	0.057	0.186	5.72303883598617e-123
2.07632509253912e-127	-0.455727315670443	0.029	0.13	7.59955747120244e-123
7.05740093110318e-127	1.84237090826768	0.764	0.692	2.58307931479307e-122
1.83403604966701e-126	-0.505060493510155	0.033	0.139	6.71275534538621e-122
1.58289298552912e-124	0.307841794464494	0.999	1	5.79354661633512e-120
3.09382131894358e-124	-0.493619826937691	0.041	0.153	1.13236954094654e-119
1.80645670084912e-123	-0.477559132514664	0.038	0.147	6.61181217077786e-119
7.37903139883645e-122	0.532126860909365	0.657	0.428	2.70079928228813e-117
6.32362694914435e-120	-0.582447634123657	0.093	0.239	2.31451069965632e-115
3.34643984378295e-119	0.696246195780267	0.635	0.462	1.224830447223e-114
6.40568166667462e-119	-0.447644149070847	0.03	0.128	2.34454354681958e-114
1.07101522597535e-118	-0.609872878186883	0.166	0.338	3.92002282859239e-114
3.86642075523071e-118	-0.537252765901399	0.524	0.661	1.41514866062199e-113
4.43940122438381e-118	-0.671819128959806	0.295	0.451	1.62486524213672e-113
5.69340820862384e-118	-0.425909866819331	0.024	0.115	2.08384433843841e-113
2.48898185385706e-116	-0.363016409040073	0.917	0.942	9.10992248330223e-112
1.80837510195628e-111	0.39909688002186	0.87	0.814	6.61883371067017e-107
3.14392419903083e-111	-0.307093990546607	0.986	0.996	1.15070769608728e-106
1.38699510508106e-109	-0.589742859073033	0.358	0.524	5.07654078410718e-105
6.42859650046046e-109	0.557452860525418	0.787	0.679	2.35293060513353e-104
7.25700426893954e-108	-0.442638143497114	0.028	0.119	2.65613613247456e-103
1.50658293176277e-105	-0.508874099452364	0.088	0.22	5.51424418854491e-101
1.04250012206342e-102	-0.382762767786838	0.023	0.106	3.81565469676431e-98
1.39521848872363e-101	-0.37150627506741	0.022	0.102	5.10663919057737e-97
1.62315618975318e-101	-0.431665225943947	0.037	0.131	5.94091397011561e-97
1.17984510261238e-100	0.371547308521097	0.999	1	4.31835106007157e-96
1.8541196237224e-100	-0.414571669585955	0.042	0.141	6.78626323478634e-96
2.95420347571541e-100	-0.547414160352253	0.124	0.267	1.0812680141466e-95
5.24778501553491e-100	0.628753411916839	0.782	0.703	1.92074179353593e-95
2.97490235327468e-99	-0.497557460396168	0.058	0.168	1.08884401032207e-94
2.01161319237553e-98	-0.407888313859134	0.029	0.114	7.36270544541367e-94
9.3927701650691e-98	-0.599641457222111	0.244	0.393	3.43784780811694e-93
1.06049828057506e-95	-0.553254761564373	0.216	0.373	3.88152975673278e-91
1.1942816108996e-95	-0.635502667405972	0.208	0.349	4.37119012405364e-91
1.22694806748018e-95	-0.338290463251635	0.929	0.955	4.4907526217842e-91
3.35613453435519e-95	0.256231382987847	0.995	0.997	1.22837880091934e-90
5.20207832723532e-95	-0.466169634569814	0.032	0.119	1.9040126885514e-90
1.11319433966759e-94	-0.580895315483636	0.168	0.313	4.07440260261733e-90
7.13895584223727e-93	-0.597676841191552	0.282	0.424	2.61292922781726e-88
1.54863990046582e-92	0.40391120637068	0.873	0.753	5.66817689969496e-88
2.32181302459804e-91	-0.615647222748084	0.201	0.339	8.49806785133129e-87
6.43222230846922e-91	-0.585522965241283	0.237	0.386	2.35425768712282e-86
8.38659841752952e-91	-0.494896039228161	0.06	0.162	3.06957888679998e-86
1.18715833043377e-90	-0.433674624282181	0.74	0.784	4.34511820522065e-86
2.40379867707193e-90	-0.526588993322763	0.518	0.609	8.79814353795099e-86
2.18872554367236e-89	-0.441631816525186	0.054	0.155	8.01095436239521e-85
1.50046624125933e-88	-0.413142639038666	0.773	0.818	5.49185648963328e-84
4.35605775884754e-86	-0.439076724333981	0.034	0.116	1.59436070031579e-81
8.01990322914658e-86	-0.478578445052893	0.681	0.744	2.93536478089994e-81
8.32825476274969e-86	-0.394639149597351	0.03	0.108	3.04822452571401e-81
4.41032300153945e-85	-0.307985085097923	0.908	0.93	1.61422232179346e-80
4.73559537944733e-84	0.298059505785035	0.102	0.007	1.73327526483152e-79
1.49522893380922e-83	-0.421816692708157	0.755	0.812	5.47268742063511e-79
1.95504828300069e-82	-0.346099127695879	0.026	0.101	7.15567222061082e-78
1.31100777845296e-81	-0.397053348642884	0.041	0.127	4.79841956991569e-77
4.72027305116866e-81	0.414696926018773	0.77	0.603	1.72766713945824e-76
1.15051030995625e-80	-0.385641262192735	0.033	0.112	4.21098278547088e-76
1.33675752703474e-80	0.476834232265676	0.626	0.449	4.89266622469985e-76
2.39871378985247e-80	-0.466658425988244	0.088	0.2	8.77953234223904e-76
3.32610709722906e-80	-0.435866747014846	0.597	0.693	1.21738845865681e-75
5.82800234612807e-79	-0.41947093962305	0.049	0.138	2.13310713870634e-74
1.12831656778192e-78	0.479742266852215	0.777	0.649	4.1297514697386e-74
2.33632031448793e-78	-0.51645003574885	0.122	0.243	8.55116598305727e-74
9.75775835958513e-78	-0.394605515052783	0.051	0.141	3.57143713719175e-73
